LEP_EEWW_206GEV 1 10
1	 EWK_RAP	 -0.8	 6460	 206	 0.495	 0.057	0.012	 2.4242424242424243
2	 EWK_RAP	 -0.6	 6460	 206	 0.602	 0.065	0.013	 2.159468438538206
3	 EWK_RAP	 -0.4	 6460	 206	 0.653	 0.068	0.015	 2.2970903522205206
4	 EWK_RAP	 -0.2	 6460	 206	 1.057	 0.091	0.021	 1.9867549668874174
5	 EWK_RAP	 0.0	 6460	 206	 1.24	 0.09	0.022	 1.7741935483870965
6	 EWK_RAP	 0.2	 6460	 206	 1.707	 0.111	0.03	 1.757469244288225
7	 EWK_RAP	 0.4	 6460	 206	 2.294	 0.137	0.033	 1.4385353095030515
8	 EWK_RAP	 0.6	 6460	 206	 2.797	 0.136	0.045	 1.6088666428316052
9	 EWK_RAP	 0.8	 6460	 206	 4.481	 0.175	0.064	 1.4282526221825487
10	 EWK_RAP	 1.0	 6460	 206	 7.584	 0.244	0.096	 1.2658227848101267
