115.0   97.0   133.0   1.1356   0.019579   -0.019579
153.5   133.0   174.0   1.0862   0.018372   -0.018372
197.0   174.0   220.0   1.0578   0.016057   -0.016057
246.0   220.0   272.0   1.0399   0.013728   -0.013728
301.0   272.0   330.0   1.028   0.011659   -0.011659
362.5   330.0   395.0   1.0197   0.0098971   -0.0098971
431.5   395.0   468.0   1.0137   0.0084099   -0.0084099
508.0   468.0   548.0   1.0093   0.0071703   -0.0071703
593.0   548.0   638.0   1.006   0.0061335   -0.0061335
687.5   638.0   737.0   1.0034   0.0052605   -0.0052605
791.5   737.0   846.0   1.0014   0.0045294   -0.0045294
906.5   846.0   967.0   0.99981   0.0039105   -0.0039105
1034.0   967.0   1101.0   0.99854   0.0033827   -0.0033827
1174.5   1101.0   1248.0   0.9975   0.0029331   -0.0029331
1329.0   1248.0   1410.0   0.99666   0.0025491   -0.0025491
1499.0   1410.0   1588.0   0.99597   0.0022195   -0.0022195
1686.0   1588.0   1784.0   0.9954   0.0019354   -0.0019354
1892.0   1784.0   2000.0   0.99492   0.0016894   -0.0016894
2119.0   2000.0   2238.0   0.99452   0.0014757   -0.0014757
2369.0   2238.0   2500.0   0.99418   0.0012897   -0.0012897
2643.5   2500.0   2787.0   0.99389   0.0011278   -0.0011278
