115.0   97.0   133.0   0.99884
153.5   133.0   174.0   0.99814
197.0   174.0   220.0   0.99715
246.0   220.0   272.0   0.99586
301.0   272.0   330.0   0.99439
362.5   330.0   395.0   0.99288
431.5   395.0   468.0   0.99134
508.0   468.0   548.0   0.98952
593.0   548.0   638.0   0.98786
687.5   638.0   737.0   0.98633
791.5   737.0   846.0   0.98496
906.5   846.0   967.0   0.98389
1034.0   967.0   1101.0   0.98287
1174.5   1101.0   1248.0   0.98252
1329.0   1248.0   1410.0   0.9824
1499.0   1410.0   1588.0   0.98248
1686.0   1588.0   1784.0   0.9827
1892.0   1784.0   2000.0   0.98256
2119.0   2000.0   2238.0   0.98473
