115.0   97.0   133.0   0.99861
153.5   133.0   174.0   0.99781
197.0   174.0   220.0   0.99668
246.0   220.0   272.0   0.99584
301.0   272.0   330.0   0.99348
362.5   330.0   395.0   0.99154
431.5   395.0   468.0   0.98966
508.0   468.0   548.0   0.9873
593.0   548.0   638.0   0.98497
687.5   638.0   737.0   0.98226
791.5   737.0   846.0   0.9798
906.5   846.0   967.0   0.97713
1034.0   967.0   1101.0   0.97425
1174.5   1101.0   1248.0   0.97197
1329.0   1248.0   1410.0   0.96913
1499.0   1410.0   1588.0   0.96608
