#: table_doi: 10.17182/hepdata.115022.v2/t30
#: name: ak7_correlations_y2_y2
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $0.5 < |y| < 1.0$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y2_y2.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   1.0
115.0   97.0   133.0   153.5   133.0   174.0   -0.43778
115.0   97.0   133.0   197.0   174.0   220.0   0.12623
115.0   97.0   133.0   246.0   220.0   272.0   -0.04582
115.0   97.0   133.0   301.0   272.0   330.0   0.020435
115.0   97.0   133.0   362.5   330.0   395.0   -0.010229
115.0   97.0   133.0   431.5   395.0   468.0   0.0034368
115.0   97.0   133.0   508.0   468.0   548.0   -0.002072
115.0   97.0   133.0   593.0   548.0   638.0   0.00013314
115.0   97.0   133.0   687.5   638.0   737.0   -0.00062673
115.0   97.0   133.0   791.5   737.0   846.0   -0.00025931
115.0   97.0   133.0   906.5   846.0   967.0   -0.00029924
115.0   97.0   133.0   1034.0   967.0   1101.0   -0.00015555
115.0   97.0   133.0   1174.5   1101.0   1248.0   -0.0001132
115.0   97.0   133.0   1329.0   1248.0   1410.0   -6.1078e-05
115.0   97.0   133.0   1499.0   1410.0   1588.0   -3.4085e-05
115.0   97.0   133.0   1686.0   1588.0   1784.0   -2.0244e-05
115.0   97.0   133.0   1892.0   1784.0   2000.0   -1.5036e-05
115.0   97.0   133.0   2119.0   2000.0   2238.0   -7.5458e-06
115.0   97.0   133.0   2369.0   2238.0   2500.0   -1.6198e-06
115.0   97.0   133.0   2643.5   2500.0   2787.0   -2.3601e-06
153.5   133.0   174.0   115.0   97.0   133.0   -0.43778
153.5   133.0   174.0   153.5   133.0   174.0   1.0
153.5   133.0   174.0   197.0   174.0   220.0   -0.31196
153.5   133.0   174.0   246.0   220.0   272.0   0.11517
153.5   133.0   174.0   301.0   272.0   330.0   -0.053183
153.5   133.0   174.0   362.5   330.0   395.0   0.024323
153.5   133.0   174.0   431.5   395.0   468.0   -0.0097635
153.5   133.0   174.0   508.0   468.0   548.0   0.0040417
153.5   133.0   174.0   593.0   548.0   638.0   -0.001292
153.5   133.0   174.0   687.5   638.0   737.0   0.00077056
153.5   133.0   174.0   791.5   737.0   846.0   -9.8414e-05
153.5   133.0   174.0   906.5   846.0   967.0   0.00020714
153.5   133.0   174.0   1034.0   967.0   1101.0   3.2224e-05
153.5   133.0   174.0   1174.5   1101.0   1248.0   6.0497e-05
153.5   133.0   174.0   1329.0   1248.0   1410.0   2.0325e-05
153.5   133.0   174.0   1499.0   1410.0   1588.0   1.6424e-05
153.5   133.0   174.0   1686.0   1588.0   1784.0   7.6023e-06
153.5   133.0   174.0   1892.0   1784.0   2000.0   6.6618e-06
153.5   133.0   174.0   2119.0   2000.0   2238.0   3.0166e-06
153.5   133.0   174.0   2369.0   2238.0   2500.0   7.3293e-07
153.5   133.0   174.0   2643.5   2500.0   2787.0   8.8801e-07
197.0   174.0   220.0   115.0   97.0   133.0   0.12623
197.0   174.0   220.0   153.5   133.0   174.0   -0.31196
197.0   174.0   220.0   197.0   174.0   220.0   1.0
197.0   174.0   220.0   246.0   220.0   272.0   -0.44519
197.0   174.0   220.0   301.0   272.0   330.0   0.21176
197.0   174.0   220.0   362.5   330.0   395.0   -0.094954
197.0   174.0   220.0   431.5   395.0   468.0   0.03952
197.0   174.0   220.0   508.0   468.0   548.0   -0.01505
197.0   174.0   220.0   593.0   548.0   638.0   0.0058239
197.0   174.0   220.0   687.5   638.0   737.0   -0.0024406
197.0   174.0   220.0   791.5   737.0   846.0   0.00095116
197.0   174.0   220.0   906.5   846.0   967.0   -0.00040848
197.0   174.0   220.0   1034.0   967.0   1101.0   0.00014196
197.0   174.0   220.0   1174.5   1101.0   1248.0   -7.0103e-05
197.0   174.0   220.0   1329.0   1248.0   1410.0   2.0018e-05
197.0   174.0   220.0   1499.0   1410.0   1588.0   -1.2521e-05
197.0   174.0   220.0   1686.0   1588.0   1784.0   2.55e-06
197.0   174.0   220.0   1892.0   1784.0   2000.0   -2.7498e-06
197.0   174.0   220.0   2119.0   2000.0   2238.0   9.5696e-08
197.0   174.0   220.0   2369.0   2238.0   2500.0   -3.3445e-07
197.0   174.0   220.0   2643.5   2500.0   2787.0   2.5533e-07
