115.0   97.0   133.0   1.1332   0.023431   -0.023431
153.5   133.0   174.0   1.0838   0.02171   -0.02171
197.0   174.0   220.0   1.0554   0.018901   -0.018901
246.0   220.0   272.0   1.0375   0.016161   -0.016161
301.0   272.0   330.0   1.0257   0.013761   -0.013761
362.5   330.0   395.0   1.0174   0.011734   -0.011734
431.5   395.0   468.0   1.0115   0.010034   -0.010034
508.0   468.0   548.0   1.0071   0.0086236   -0.0086236
593.0   548.0   638.0   1.0038   0.0074479   -0.0074479
687.5   638.0   737.0   1.0012   0.0064608   -0.0064608
791.5   737.0   846.0   0.9992   0.0056361   -0.0056361
906.5   846.0   967.0   0.99762   0.0049395   -0.0049395
1034.0   967.0   1101.0   0.99634   0.0043464   -0.0043464
1174.5   1101.0   1248.0   0.99531   0.003842   -0.003842
1329.0   1248.0   1410.0   0.99447   0.0034118   -0.0034118
1499.0   1410.0   1588.0   0.99377   0.0030429   -0.0030429
1686.0   1588.0   1784.0   0.9932   0.0027253   -0.0027253
1892.0   1784.0   2000.0   0.99271   0.0024506   -0.0024506
2119.0   2000.0   2238.0   0.99231   0.0022121   -0.0022121
2369.0   2238.0   2500.0   0.99197   0.0020047   -0.0020047
2643.5   2500.0   2787.0   0.99167   0.0018244   -0.0018244
2945.0   2787.0   3103.0   0.99143   0.0016671   -0.0016671
