115.0   97.0   133.0   1.1267   0.017501   -0.017501
153.5   133.0   174.0   1.0822   0.015239   -0.015239
197.0   174.0   220.0   1.057   0.012651   -0.012651
246.0   220.0   272.0   1.0414   0.010358   -0.010358
301.0   272.0   330.0   1.0312   0.0084493   -0.0084493
362.5   330.0   395.0   1.0242   0.0068916   -0.0068916
431.5   395.0   468.0   1.0192   0.005618   -0.005618
508.0   468.0   548.0   1.0156   0.0045833   -0.0045833
593.0   548.0   638.0   1.0129   0.0037363   -0.0037363
687.5   638.0   737.0   1.0108   0.0030365   -0.0030365
791.5   737.0   846.0   1.0092   0.0024603   -0.0024603
906.5   846.0   967.0   1.008   0.00198   -0.00198
1034.0   967.0   1101.0   1.007   0.0015762   -0.0015762
1174.5   1101.0   1248.0   1.0062   0.0012368   -0.0012368
1329.0   1248.0   1410.0   1.0055   0.00095062   -0.00095062
1499.0   1410.0   1588.0   1.005   0.00070783   -0.00070783
