#: table_doi: 10.17182/hepdata.115022.v2/t28
#: name: ak7_correlations_y1_y4
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$and $1.5 < |y| < 2.0$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y4.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
115.0   97.0   133.0   115.0   97.0   133.0   0.0050254
115.0   97.0   133.0   153.5   133.0   174.0   0.0067671
115.0   97.0   133.0   197.0   174.0   220.0   -0.0012346
115.0   97.0   133.0   246.0   220.0   272.0   0.0013804
115.0   97.0   133.0   301.0   272.0   330.0   -0.00035806
115.0   97.0   133.0   362.5   330.0   395.0   0.00032673
115.0   97.0   133.0   431.5   395.0   468.0   2.3442e-05
115.0   97.0   133.0   508.0   468.0   548.0   7.7265e-05
115.0   97.0   133.0   593.0   548.0   638.0   7.5548e-05
115.0   97.0   133.0   687.5   638.0   737.0   3.8403e-05
115.0   97.0   133.0   791.5   737.0   846.0   2.7946e-05
115.0   97.0   133.0   906.5   846.0   967.0   2.2671e-05
115.0   97.0   133.0   1034.0   967.0   1101.0   1.0721e-05
115.0   97.0   133.0   1174.5   1101.0   1248.0   3.1847e-06
115.0   97.0   133.0   1329.0   1248.0   1410.0   2.3671e-06
115.0   97.0   133.0   1499.0   1410.0   1588.0   1.2362e-06
153.5   133.0   174.0   115.0   97.0   133.0   0.0060954
153.5   133.0   174.0   153.5   133.0   174.0   0.03606
153.5   133.0   174.0   197.0   174.0   220.0   0.0042388
153.5   133.0   174.0   246.0   220.0   272.0   -0.0012691
153.5   133.0   174.0   301.0   272.0   330.0   0.00083346
153.5   133.0   174.0   362.5   330.0   395.0   -0.0003859
153.5   133.0   174.0   431.5   395.0   468.0   0.00010176
153.5   133.0   174.0   508.0   468.0   548.0   -6.9128e-05
153.5   133.0   174.0   593.0   548.0   638.0   -5.8288e-06
153.5   133.0   174.0   687.5   638.0   737.0   -2.3113e-05
153.5   133.0   174.0   791.5   737.0   846.0   -7.3236e-06
153.5   133.0   174.0   906.5   846.0   967.0   -9.9068e-06
153.5   133.0   174.0   1034.0   967.0   1101.0   -3.5485e-06
153.5   133.0   174.0   1174.5   1101.0   1248.0   -1.4282e-06
153.5   133.0   174.0   1329.0   1248.0   1410.0   -7.876e-07
153.5   133.0   174.0   1499.0   1410.0   1588.0   -4.9216e-07
197.0   174.0   220.0   115.0   97.0   133.0   -0.0012509
197.0   174.0   220.0   153.5   133.0   174.0   0.0033569
197.0   174.0   220.0   197.0   174.0   220.0   0.016123
197.0   174.0   220.0   246.0   220.0   272.0   0.0075882
197.0   174.0   220.0   301.0   272.0   330.0   -0.0022046
197.0   174.0   220.0   362.5   330.0   395.0   0.001192
197.0   174.0   220.0   431.5   395.0   468.0   -0.0003764
197.0   174.0   220.0   508.0   468.0   548.0   0.00021197
197.0   174.0   220.0   593.0   548.0   638.0   -9.5623e-05
197.0   174.0   220.0   687.5   638.0   737.0   4.2874e-05
197.0   174.0   220.0   791.5   737.0   846.0   -1.0358e-05
197.0   174.0   220.0   906.5   846.0   967.0   8.2836e-06
197.0   174.0   220.0   1034.0   967.0   1101.0   -6.011e-07
197.0   174.0   220.0   1174.5   1101.0   1248.0   1.5711e-06
197.0   174.0   220.0   1329.0   1248.0   1410.0   -1.2915e-07
197.0   174.0   220.0   1499.0   1410.0   1588.0   2.9918e-07
246.0   220.0   272.0   115.0   97.0   133.0   0.0012758
246.0   220.0   272.0   153.5   133.0   174.0   -0.00062557
246.0   220.0   272.0   197.0   174.0   220.0   0.0057188
246.0   220.0   272.0   246.0   220.0   272.0   0.031374
246.0   220.0   272.0   301.0   272.0   330.0   -0.0066537
