115.0   97.0   133.0   0.99893
153.5   133.0   174.0   0.99814
197.0   174.0   220.0   0.99725
246.0   220.0   272.0   0.99613
301.0   272.0   330.0   0.99488
362.5   330.0   395.0   0.99349
431.5   395.0   468.0   0.99201
508.0   468.0   548.0   0.9909
593.0   548.0   638.0   0.98988
687.5   638.0   737.0   0.98926
791.5   737.0   846.0   0.9891
906.5   846.0   967.0   0.98983
1034.0   967.0   1101.0   0.99093
1174.5   1101.0   1248.0   0.9935
1329.0   1248.0   1410.0   0.99669
1499.0   1410.0   1588.0   1.0011
1686.0   1588.0   1784.0   1.0065
1892.0   1784.0   2000.0   1.0138
2119.0   2000.0   2238.0   1.0208
2369.0   2238.0   2500.0   1.0293
2643.5   2500.0   2787.0   1.04
