old_name,new_name,cfac,simu_fac
CMSTTBARTOT8TEV, CMS_TTBAR_8TEV_TOT_X-SEC, [QCD], EFT_NLO
CMS_TTBAR_2D_DIFF_MTT_TTRAP_NORM, CMS_TTBAR_8TEV_2L_DIF_MTTBAR-YTTBAR-NORM, [QCD], EFT_NLO
CMSTOPDIFF8TEVTTRAPNORM, CMS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM, [QCD], EFT_NLO
CMSTTBARTOT13TEV, CMS_TTBAR_13TEV_TOT_X-SEC, [QCD], EFT_NLO
CMS_TTB_DIFF_13TEV_2016_2L_TTMNORM, CMS_TTBAR_13TEV_2L_DIF_MTTBAR-NORM, [QCD], EFT_NLO
CMS_TTBAR_13TEV_LJETS_TOTAL, NOT FOUND, [QCD], EFT_NLO
CMS_TTBAR_13TEV_TTMNORM, NOT FOUND, [QCD], EFT_NLO
ATLAS_TTBAR_8TEV_ASY, NOT FOUND, [QCD], EFT_NLO
ATLAS_TTBAR_13TEV_ASY_2022, NOT FOUND, [QCD], EFT_NLO
CMS_TTBAR_8TEV_ASY, NOT FOUND, [QCD], EFT_NLO
CMS_TTBAR_13TEV_ASY, NOT FOUND, [QCD], EFT_NLO
ATLAS_CMS_TTBAR_8TEV_ASY, NOT FOUND, [QCD], EFT_NLO

ATLAS_TTBARZ_8TEV_TOTAL, NOT FOUND, , EFT_LO
ATLAS_TTBARZ_13TEV_TOTAL, NOT FOUND, [QCD], EFT_LO
ATLAS_TTBARZ_13TEV_PTZNORM, NOT FOUND, , EFT_LO
CMS_TTBARZ_8TEV_TOTAL, NOT FOUND, , EFT_LO
CMS_TTBARZ_13TEV_TOTAL, NOT FOUND, [QCD], EFT_LO
CMS_TTBARZ_13TEV_PTZNORM, NOT FOUND, , EFT_LO
ATLAS_TTBARW_8TEV_TOTAL, NOT FOUND, , EFT_LO
ATLAS_TTBARW_13TEV_TOTAL, NOT FOUND, [QCD], EFT_LO
CMS_TTBARW_8TEV_TOTAL, NOT FOUND, , EFT_LO
CMS_TTBARW_13TEV_TOTAL, NOT FOUND, [QCD], EFT_LO
ATLAS_SINGLETOP_TCH_7TEV_T, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_7TEV_TB, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM, ATLAS_SINGLETOP_7TEV_T-Y-NORM, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM, ATLAS_SINGLETOP_7TEV_TBAR-Y-NORM, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_8TEV_T, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_8TEV_TB, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM, ATLAS_SINGLETOP_8TEV_T-RAP-NORM, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM, ATLAS_SINGLETOP_8TEV_TBAR-RAP-NORM, [QCD], EFT_NLO
ATLAS_SINGLETOP_SCH_8TEV_TOTAL, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_13TEV_T, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_TCH_13TEV_TB, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOP_SCH_13TEV_TOTAL, NOT FOUND, [QCD], EFT_NLO
CMS_SINGLETOP_TCH_TOT_7TEV, CMS_SINGLETOP_7TEV_TCHANNEL-XSEC, [QCD], EFT_NLO
CMS_SINGLETOP_TCH_8TEV_T, NOT FOUND, [QCD], EFT_NLO
CMS_SINGLETOP_TCH_8TEV_TB, NOT FOUND, [QCD], EFT_NLO
CMS_SINGLETOP_SCH_8TEV_TOTAL, NOT FOUND, [QCD], EFT_NLO
CMS_SINGLETOP_TCH_13TEV_T, NOT FOUND, [QCD], EFT_NLO
CMS_SINGLETOP_TCH_13TEV_TB, NOT FOUND, [QCD], EFT_NLO
CMS_SINGLETOP_TCH_13TEV_YTNORM, NOT FOUND, [QCD], EFT_NLO
ATLAS_SINGLETOPW_8TEV_TOTAL, NOT FOUND, , EFT_NLO
ATLAS_SINGLETOPW_8TEV_SLEP_TOTAL, NOT FOUND, , EFT_NLO
ATLAS_SINGLETOPW_13TEV_TOTAL, NOT FOUND, , EFT_NLO
CMS_SINGLETOPW_8TEV_TOTAL, NOT FOUND, , EFT_NLO
CMS_SINGLETOPW_13TEV_TOTAL, NOT FOUND, , EFT_NLO
CMS_SINGLETOPW_13TEV_SLEP_TOTAL, NOT FOUND, , EFT_NLO

ATLAS_WHEL_13TEV, NOT FOUND, , EFT_NLO 
ATLAS_CMS_WHEL_8TEV, NOT FOUND, , EFT_NLO
ATLAS_TTBARGAMMA_8TEV_TOTAL, NOT FOUND, , EFT_LO
CMS_TTBARGAMMA_8TEV_TOTAL, NOT FOUND, , EFT_LO
ATLAS_4TOP_13TEV_MULTILEP_TOTAL, NOT FOUND, , EFT_LO
ATLAS_4TOP_13TEV_SLEP_TOTAL, NOT FOUND, , EFT_LO
CMS_4TOP_13TEV_MULTILEP_TOTAL, NOT FOUND, , EFT_LO
CMS_4TOP_13TEV_SLEP_TOTAL, NOT FOUND, , EFT_LO
CMS_TTBB_13TEV_ALLJET_TOTAL, NOT FOUND, , EFT_LO
CMS_TTBB_13TEV_DILEPTON_TOTAL, NOT FOUND, , EFT_LO
CMS_TTBB_13TEV_LJETS_TOTAL, NOT FOUND, , EFT_LO
ATLAS_TTBB_13TEV_LJETS_TOTAL, NOT FOUND, , EFT_LO
ATLAS_SINGLETOPZ_13TEV_TOTAL, NOT FOUND, , EFT_LO
CMS_SINGLETOPZ_13TEV_TOTAL, NOT FOUND, , EFT_LO
CMS_SINGLETOPZ_13TEV_PTT, NOT FOUND, , EFT_LO
LEP_ZDATA, NOT FOUND, , EFT_LO
LEP_BRW, NOT FOUND, , EFT_LO
LEP_BHABHA, NOT FOUND, , EFT_LO
ALPHAEW_WITHTHUNC, NOT FOUND, , EFT_LO
ATLAS_CMS_SSINC_RUNI, NOT FOUND, , EFT_NLO
CMS_SSINC_RUNII, NOT FOUND, , EFT_NLO
ATLAS_STXS_RUNII, NOT FOUND, , EFT_LO
ATLAS_SSINC_RUNII_ZGAM, NOT FOUND, , EFT_LO
ATLAS_SSINC_RUNII_MUMU, NOT FOUND, , EFT_LO
LEP_EEWW_182GEV, NOT FOUND, , EFT_LO
LEP_EEWW_189GEV, NOT FOUND, , EFT_LO
LEP_EEWW_198GEV, NOT FOUND, , EFT_LO
LEP_EEWW_206GEV, NOT FOUND, , EFT_LO
ATLAS_WW_13TEV_2016_MEMU, NOT FOUND, , EFT_NLO
ATLAS_WZ_13TEV_2016_MTWZ, NOT FOUND, , EFT_NLO
CMS_WZ_13TEV_2016_PTZ, NOT FOUND, , EFT_NLO
ATLAS_ZJJ_13TEV_2016, NOT FOUND, , EFT_LO
BETA_DECAY_OBS, NOT FOUND, , EFT_LO
MESON1_OBS, NOT FOUND, , EFT_LO
MESON2_OBS, NOT FOUND, , EFT_LO
PV_OBS, NOT FOUND, , EFT_LO
ATLAS_WPWM_13TEV_HMT_DIF-LEP-PM, NOT FOUND, ['EWK'], EFT_LO

NOT_FOUND, CMS_SINGLETOP_13TEV_TCHANNEL-XSEC,,
NOT_FOUND, CMS_SINGLETOP_8TEV_TCHANNEL-XSEC,,
NOT_FOUND,CMS_TTBAR_13TEV_LJ_2016_DIF_YT,,
NOT_FOUND,CMS_TTBAR_13TEV_2L_DIF_YT,,
NOT_FOUND,CMS_TTBAR_8TEV_2L_DIF_MTTBAR-YT-NORM,,
NOT_FOUND, ATLAS_SINGLETOP_13TEV_TCHANNEL-XSEC,,
NOT_FOUND,ATLAS_SINGLETOP_7TEV_TCHANNEL-XSEC,,
NOT_FOUND,ATLAS_TTBAR_8TEV_2L_DIF_YTTBAR-NORM,,
NOT_FOUND,ATLAS_TTBAR_13TEV_TOT_X-SEC,,
NOT_FOUND,ATLAS_WPWM_13TEV_TOT,,
NOT_FOUND,ATLAS_Z0_13TEV_TOT,,
NOT_FOUND,ATLAS_Z0_7TEV_46FB_CC-Y,,
NOT_FOUND,ATLAS_WPWM_7TEV_46FB_CC-ETA,,
NOT_FOUND,ATLAS_Z0_7TEV_36PB_ETA,,
NOT_FOUND,ATLAS_WPWM_7TEV_36PB_ETA,,
